image,min,max,mean,orig,diff_min_max,diff_orig_mean,damage_min_max,damage_mean
2-34e23370868237a073d086fb64851017e9b2c8c9_85903b8cb210e9ad54581e7a37999bcd5fb18443_instant.jpg,30,83,52.90625,87.0,53,34.09375,1,1
1-5d205d5ea6bafd3c2e038cf1139cdd5a9825388f_275cb29ffc473512447ce75ff34baa4ecea7276d_instant_210319.jpg,49,117,70.65625,59.66666666666666,68,10.989583333333343,1,0
1-11c00bf7cc3e03dc86bde8a20c8ab390b0b2f2a4_d5d5dbc0f05ff34587375f4a567740b61c4731a6_instant_210319.jpg,6,28,14.03125,18.0,22,3.96875,0,0
2-8c5de8aa63e57b1e5d3a11ce4c4e2ded042b2ef3_0693ab68bf2278539a3733129d6964ba7719f7b2.jpg,26,57,39.3125,22.0,31,17.3125,0,1
1-3d78e56849a16c0b17831129f6059e367574a138_8560eccb0f16269a00f2d6c6a5fab7419529c803_instant.jpg,13,34,22.78125,15.0,21,7.78125,0,0
1-947a57fc1b94be1fb8a5cce439cd8112016648b1_b151d6624e13c4d31f300f909ebb63577e42a730_instant.jpg,12,33,22.15625,19.0,21,3.15625,0,0
1-1f43f59e9f5ead12a13b1cd892a8757242367189_9cd89303dd466e6b178399f8d02b12aae69ec707_instant.jpg,13,37,25.21875,14.0,24,11.21875,0,0
1-85fde97a518625ed46589a6be46300e36c3ad0d9_6626ee8bedc11ff89bd5a6205d10710e72ed9801_instant_210319.jpg,8,26,16.75,16.0,18,0.75,0,0
1-e50b5a99fd9bab50130099c750df6d80f50a9b4e_fdafeaf4b1ec0417f969870e07a0d6401488df85_instant.jpg,1,26,12.1875,17.0,25,4.8125,0,0
1-0d8eabdfed2cb1f0d455e5a2050d78ba39ae6cff_0665c9464c856662322717999ae3d8301ff48907_instant.jpg,3,27,12.375,11.0,24,1.375,0,0
2-746ba8ac1301085b9f8d8d96beb3bf7f9e7a4605_ecc100d2cbc4a9fc70c2fde3eafaadb6ceb588ca_instant.jpg,14,49,31.09375,29.0,35,2.09375,0,0
6689.jpg,58,145,90.8125,113.8,87,22.987499999999997,1,1
6683.jpg,66,148,88.46875,106.2,82,17.731250000000003,1,1
6721.jpg,60,154,110.40625,80.6,94,29.806250000000006,1,1
6723.jpg,54,127,79.96875,65.2,73,14.768749999999997,1,1
6722.jpg,48,150,91.0,93.4,102,2.4000000000000057,1,0
6690.jpg,59,110,86.40625,104.2,51,17.793750000000003,1,1
6725.jpg,60,127,93.71875,83.2,67,10.518749999999997,1,0
6724.jpg,54,123,83.90625,73.4,69,10.506249999999994,1,0
6693.jpg,48,111,78.1875,109.2,63,31.012500000000003,1,1
6702.jpg,47,109,80.125,73.2,62,6.924999999999997,1,0
6703.jpg,37,103,70.8125,75.6,66,4.787499999999994,1,0
6699.jpg,46,110,72.125,82.2,64,10.075000000000003,1,0
6705.jpg,71,135,95.78125,67.4,64,28.381249999999994,1,1
6709.jpg,49,116,75.71875,72.0,67,3.71875,1,0
6696.jpg,36,119,70.46875,65.0,83,5.46875,1,0
6695.jpg,51,123,84.03125,67.0,72,17.03125,1,1
6701.jpg,79,155,122.4375,94.0,76,28.4375,1,1
6728.jpg,51,165,94.71875,97.2,114,2.481250000000003,1,0
6700.jpg,74,153,114.53125,101.2,79,13.331249999999997,1,0
6717.jpg,69,143,110.90625,73.2,74,37.70625,1,1
6688.jpg,77,140,112.8125,119.0,63,6.1875,1,0
6698.jpg,85,156,120.46875,73.2,71,47.26875,1,1
6707.jpg,77,163,123.21875,77.2,86,46.01875,1,1
