model,subseq,peaks,binary,mwa
Grayscale,22.259550373098286,56.33973145680587,27.770154786659003,55.051615382747855
Polar,21.031892560763524,56.34701887356154,46.925739338874564,54.73999192203996
Polar Pith,21.280739641457483,56.353519022772666,46.24498187303678,54.72346535936389
Sobel,68.43117993648801,52.08850293010926,71.96938767628914,54.39710453002072
Sobel(blur),54.37629808795373,55.139803326975155,60.92345245777688,55.03967252412118
Canny,55.664556272371385,56.19510999633331,54.17220657888139,55.148438936995305
Canny(otsu),27.05444461521064,33.14019257732973,44.08225537631327,26.419379369129775
Canny(triangle),18.789996216404624,24.378733784540575,70.02821075511282,44.4760828107366
Canny(manual),46.492086406586445,48.48172502023314,30.39680423683549,36.06483837739329
Canny(blur),55.90288716828497,56.318229494875816,55.01624941778565,55.65634044069013
Canny(blur otsu),37.699059131164006,40.830250600045304,27.65610418040654,22.560085327852818
Canny(blur triangle),20.445047077470868,26.516465639296648,60.81136982505821,39.133659345249065
Canny(blur manual),52.23075031171772,53.1366028946855,41.47743292668316,46.59694092024712
Laplacian,85.30639939726093,41.142452091027586,95.0544428538193,52.87955592074313
Laplacian(blur),70.02554693422609,53.070923477456105,86.08286821429685,55.63335117085794
Polar Sobel,91.94166236328883,54.247118918312154,93.47515080056036,54.78305570326924
Polar Sobel(blur),55.37070056672572,56.313447036986645,69.24010153760247,55.671859868788296
Polar Canny,55.92017857513512,56.27034934692515,53.95856263143043,55.00772293789755
Polar Canny(otsu),38.00912263029759,41.71771839548515,39.69672684082405,22.81416990463383
Polar Canny(triangle),19.801114551963988,24.80574334957532,87.13036903291814,56.01739891542627
Polar Canny(manual),51.95360412185087,53.11703032867614,34.107572198120465,41.29095671269921
Polar Canny(blur),56.15881863908375,56.34842961709315,55.15468288141996,55.72346191517986
Polar Canny(blur otsu),47.403011145126634,48.92732633712985,23.580207636649426,28.004997266113058
Polar Canny(blur triangle),23.24049849535289,28.011383930243433,74.81760903607518,47.46919861539164
Polar Canny(blur manual),54.992640388282865,55.567177924562635,47.145047095373656,50.92714584948778
Polar Laplacian,167.43443984232306,32.0445773006136,162.31858239951305,46.27173354219615
Polar Laplacian(blur),112.44959984227377,54.88558024426817,124.78578142911556,55.71305205021531
Polar Pith Sobel,90.9732390081006,54.35734121303212,92.60702387980622,54.832479653942336
Polar Pith Sobel(blur),55.30644413176461,56.326882916263884,68.51986941528347,55.71025451218564
Polar Pith Canny,55.899726463999805,56.25736421238556,53.91746300770744,54.98157010819626
Polar Pith Canny(otsu),38.437904225516775,42.092320744109614,39.053722873914346,23.191030492681865
Polar Pith Canny(triangle),19.908454469772384,24.9059373568834,86.35971249481727,55.50321771359297
Polar Pith Canny(manual),51.85022379713033,53.05908415094912,34.003828897456536,41.121128864155715
Polar Pith Canny(blur),56.17561794553309,56.35033437678077,55.180913154482134,55.735371301019434
Polar Pith Canny(blur otsu),47.5872474710925,49.12228750462971,24.2836960801378,28.77265718633752
Polar Pith Canny(blur triangle),22.88809113108824,27.741675215278544,74.52670880295197,47.487824311211604
Polar Pith Canny(blur manual),54.99947553727217,55.542003643638935,47.075736319254744,50.856315564662175
Polar Pith Laplacian,165.71574069962395,32.386912335463535,160.8673142491973,46.10827691423742
Polar Pith Laplacian(blur),110.78816507331683,54.903699115474,123.39312444758622,55.70954569236766
