model,subseq,peaks,binary,mwa
Grayscale,22.27823232545336,56.33575196977493,27.852457932660535,55.061642966514135
Polar,21.263128407821366,56.34750768112997,47.33827000875586,54.70975790621131
Polar Pith,21.386835876962376,56.350911001536836,46.29125084806118,54.737999423246876
Sobel,68.48665863463847,52.02844157961226,72.23096927673232,54.37056487659476
Sobel(blur),54.65308474968499,55.09996296505107,61.396703271887894,55.03186087821082
Canny,55.67049842881327,56.194344660962095,54.13930715207067,55.13640587428941
Canny(otsu),26.99851693698887,33.20709521557479,44.08362202961549,26.381983687381243
Canny(triangle),18.871624925897343,24.586489215687646,69.87208020789222,44.26730493194159
Canny(manual),46.283449082629694,48.32504767926386,29.90818823395192,35.52649403086378
Canny(blur),55.89724601542885,56.31607125537634,54.979690806441205,55.63631312975254
Canny(blur otsu),37.49362759398256,40.68671613588243,27.484627677917523,22.115449580694712
Canny(blur triangle),20.46651187191225,26.593056152816942,60.83818421833754,39.08066746027536
Canny(blur manual),52.13493665405066,53.06510431256237,41.145278966729585,46.37886516069308
Laplacian,84.9453605105401,41.04901620319299,95.11000777471449,52.78417367938638
Laplacian(blur),69.74406573938298,53.024330581288346,85.97945964734832,55.61300354135375
Polar Sobel,91.662242414066,54.244615649418385,93.12196133255503,54.800091764721294
Polar Sobel(blur),55.03543622990214,56.318595091896604,68.852509236229,55.68555728233085
Polar Canny,55.90668091994351,56.25496306924284,53.96114953357068,55.00713059955841
Polar Canny(otsu),38.12668839499111,41.84597238777138,39.60398522008233,22.871100991138903
Polar Canny(triangle),19.923807621944405,24.978767991849097,86.80889390683494,55.87577717929859
Polar Canny(manual),51.84076201455762,53.03500488327261,33.96649720565656,41.02715888781783
Polar Canny(blur),56.16236669177925,56.34716639670091,55.19800359062477,55.748812284153196
Polar Canny(blur otsu),47.39191731670206,48.96455722318441,23.69495217538432,27.914453175617645
Polar Canny(blur triangle),23.312668707499473,28.128250173313308,74.42596842616074,47.4733555698615
Polar Canny(blur manual),54.9813898450819,55.54341162550244,47.03508425815644,50.84432568051474
Polar Laplacian,167.17064875590077,31.934711699467794,162.08009658132767,46.07343396348378
Polar Laplacian(blur),111.9599292018131,54.866025291158095,124.41144148455811,55.68981568557891
Polar Pith Sobel,90.61810779179636,54.307803116098114,92.31890486836241,54.83967314619271
Polar Pith Sobel(blur),55.00222180171452,56.325254268040155,68.29389571687575,55.704769425236385
Polar Pith Canny,55.915173676432644,56.26128713839339,53.989748781018605,55.01322719852813
Polar Pith Canny(otsu),38.4542876297218,42.05872033073968,39.35964364239405,23.419299074494628
Polar Pith Canny(triangle),19.99299322575287,24.980064332633336,86.22856902451544,55.4402075402805
Polar Pith Canny(manual),51.84696620900904,53.024419260286344,34.014007408713255,41.03915630700301
Polar Pith Canny(blur),56.17013932297569,56.35089724149808,55.19788839796094,55.74324735590178
Polar Pith Canny(blur otsu),47.58708849063604,49.12186985892842,24.57092032833223,28.703832918597303
Polar Pith Canny(blur triangle),23.15037275280357,27.979496971554905,74.15947141127693,47.24518718048168
Polar Pith Canny(blur manual),54.98171900376865,55.538959675140426,46.9799237249607,50.78480734463064
Polar Pith Laplacian,165.4093701375375,32.45216023481719,160.36058442737925,46.11220315792908
Polar Pith Laplacian(blur),110.62329901940865,54.93619269988935,123.07020714819652,55.69307189086112
