model,subseq,peaks,binary,mwa
Grayscale,405.45262653739394,43.82272908915451,385.6405689725862,37.096434115789926
Polar,190.33160295868217,58.358894803436534,373.73612059154976,31.942477596454538
Polar Pith,127.29760590344972,65.9100848559178,237.534519577832,51.376689014641094
Sobel,529.2523888197658,83.61739235094232,494.53994178211445,139.74780537505004
Sobel(blur),453.8605274180762,40.34637419538819,444.1325318005555,80.46836667731169
Canny,86.88379194977294,47.66030632619919,334.8831804245325,239.2955845512288
Canny(otsu),62.03297924002084,35.63893681024008,283.20431087190144,195.46160565623697
Canny(triangle),86.07075059009802,49.51378663528256,311.3719043761358,222.60553551509963
Canny(manual),49.61204175903265,32.78357058039896,248.42687578361395,167.6324979014468
Canny(blur),44.043900583070844,30.220268372992887,249.4284647753311,167.35807786802098
Canny(blur otsu),35.193947645765135,31.989426964233044,200.4801635627397,126.68220000894816
Canny(blur triangle),51.66111781359362,39.39563518244847,234.66018435289723,163.01501286581816
Canny(blur manual),37.01725436246878,39.510762265760306,157.45840543446477,94.15404776121645
Laplacian,629.3776477104187,185.30522962129268,601.9915473681325,245.06407257119224
Laplacian(blur),554.1696967447593,89.54936662255072,563.8995803498616,93.32914823737698
Polar Sobel,453.79582942013377,19.47166267480588,416.6603357405937,54.87588471463841
Polar Sobel(blur),333.34638432412055,39.69733567660969,345.31217550081715,17.622188225562194
Polar Canny,16.55206207481628,25.842396643610947,183.16930625643667,111.8256739823514
Polar Canny(otsu),15.359842993524193,17.469482319175917,219.07757131770538,141.05719378905445
Polar Canny(triangle),78.09930720380486,38.74187126721829,342.006299218826,244.89547105055135
Polar Canny(manual),32.69576001891202,39.99239883134937,135.51784443649584,74.6158218512382
Polar Canny(blur),39.34824346006893,44.54272001404943,109.49526296423578,54.52800619701245
Polar Canny(blur otsu),28.58225715557018,35.024342618996535,155.47365812424854,87.77927625177662
Polar Canny(blur triangle),39.570382593189926,19.30828086136693,295.1594811420357,209.01350990170127
Polar Canny(blur manual),52.466450802597926,55.361200312131956,67.60951020777857,32.52615705639298
Polar Laplacian,616.2545398811332,145.55244513821913,549.8250241148152,187.7186510826394
Polar Laplacian(blur),474.5520053730375,16.112869191159856,474.20322906466714,26.07920627626539
Polar Pith Sobel,305.3519105650303,31.77653383675714,284.60336003751405,29.20378102049214
Polar Pith Sobel(blur),214.60589892330216,55.739481911388445,227.15061426837482,38.977599164226916
Polar Pith Canny,40.77170625875252,46.795515944372276,89.77713166801284,48.86323730394281
Polar Pith Canny(otsu),34.933199965382904,39.67170945711818,129.25130689792437,78.41096733944265
Polar Pith Canny(triangle),60.34283286090048,28.472388331880914,255.24731704200707,179.4451337506418
Polar Pith Canny(manual),46.11122882885624,50.547431756152136,84.17154106877726,48.82106427521102
Polar Pith Canny(blur),55.67234341599581,58.153433905488335,45.629263499425456,30.333361746127455
Polar Pith Canny(blur otsu),47.31694874347729,50.57064542371818,86.40469693127633,47.407905317648684
Polar Pith Canny(blur triangle),25.573412794624918,13.938100563614416,211.11441892837232,146.64853056835292
Polar Pith Canny(blur manual),58.44983636021331,60.33378325437345,48.06520636073458,37.68595116457287
Polar Pith Laplacian,430.30933913145554,78.94593043998984,390.8553035377305,88.23115123983787
Polar Pith Laplacian(blur),329.992512090372,34.636582642386315,338.6039061285852,40.99204381645297
