model,subseq,peaks,binary,mwa
Grayscale,410.2571151487003,43.225736704145035,387.9900697496398,36.94659854402316
Polar,192.12565439288127,58.59348071366692,373.51818435007766,32.25404572145618
Polar Pith,132.63960532040787,65.48411727247576,252.19748149170508,49.95755452846232
Sobel,534.6888875796055,86.33816776588233,498.8255861539038,141.2855838751339
Sobel(blur),460.1860737970469,42.16425980243813,447.74977438650893,82.00340922110452
Canny,88.00039648982312,48.73022979382437,337.67649642644557,241.54825273314958
Canny(otsu),62.41914904426937,36.111605431979896,287.04355697233535,198.3680854407497
Canny(triangle),87.02857747884353,50.5813502298172,314.43596376197115,224.78694774163378
Canny(manual),49.92022654052306,33.094366310192655,251.94250812348753,170.1280451830694
Canny(blur),44.67225857715198,30.298780032017316,253.191750788628,169.5517228421758
Canny(blur otsu),34.72178807268263,31.65142882128027,203.77530243856484,128.70886012712262
Canny(blur triangle),52.93138378607656,40.12072636620361,238.9770254526498,165.9942566710302
Canny(blur manual),36.70570436946999,39.10083155000397,161.48824696011164,96.89475389035886
Laplacian,636.7044449313296,188.32397129431638,605.5508291830921,249.4070258369446
Laplacian(blur),561.3548725297986,91.168497726345,566.9682481828631,94.5048372191207
Polar Sobel,451.87653103746754,16.615337719849176,416.0419431899909,52.28495605300138
Polar Sobel(blur),329.57411227205137,40.3352247687162,342.81576770320453,15.536817233015997
Polar Canny,15.33796988889012,25.649413457509816,181.86724356005928,110.0326643364694
Polar Canny(otsu),14.958133537596574,17.599879990205697,217.98564271457764,140.4465875175061
Polar Canny(triangle),75.97118557681215,37.14810112792731,338.78195334766946,242.19940679256348
Polar Canny(manual),33.00554649343587,40.353707828290965,134.21639903146416,72.57314525243038
Polar Canny(blur),39.84340406012286,44.99558417073915,107.10543922512593,51.05243551364617
Polar Canny(blur otsu),28.809097354859727,35.302108537416004,154.63968615294763,86.34108835280239
Polar Canny(blur triangle),37.71852438090883,18.300577390139907,292.3027296180922,206.81456112980175
Polar Canny(blur manual),53.14538106945755,55.892747461097315,67.28593619636594,32.19663965246551
Polar Laplacian,620.2160103976448,146.96996777767706,551.6650845516624,185.4716281820243
Polar Laplacian(blur),472.3091402837083,14.060271648843976,472.8536997263171,21.669495150770953
Polar Pith Sobel,320.14083300570906,29.185509166579568,298.7723605648622,27.945802637330758
Polar Pith Sobel(blur),228.72151541279018,54.694005480409565,241.09840195493462,37.22703555669301
Polar Pith Canny,39.14271620803616,45.58809845762535,97.46928144750456,52.55441907476206
Polar Pith Canny(otsu),32.780197960784406,37.94725949720499,138.76807224244317,84.22823793626586
Polar Pith Canny(triangle),61.146972615532185,28.477524815946648,265.1236032495032,187.06541391935986
Polar Pith Canny(manual),44.98477234913579,49.563364982994244,93.4085530591188,53.64944159733032
Polar Pith Canny(blur),54.70165046519229,57.538954438725995,50.39508362057751,30.018164143921734
Polar Pith Canny(blur otsu),46.09293885484832,49.76891437604042,93.22023578864768,50.168685318703965
Polar Pith Canny(blur triangle),27.090398746439142,13.974288810807407,222.1739449853586,155.4219684640817
Polar Pith Canny(blur manual),57.62049389726095,59.78682857997894,54.703028662644186,38.739987185631044
Polar Pith Laplacian,451.260041223115,86.09780697597023,409.3873407354755,96.55931152271681
Polar Pith Laplacian(blur),344.4713795972129,32.10621150127006,353.33257872522324,37.579473821204196
