model,subseq,peaks,binary,mwa
Grayscale,376.91237487423166,58.227156606630345,354.9665355962857,32.64680332530447
Polar,165.47154548577646,76.46588907375809,353.47915246630686,42.05830614101558
Polar Pith,136.9720762106581,78.75825772401407,306.3521366460567,45.15902658706969
Sobel,507.6660909326252,62.757049598475824,473.582571681561,117.14083676507025
Sobel(blur),433.93418003174907,30.17140429533862,419.54202084766723,58.85875671629074
Canny,66.80175853655642,32.143596473805374,291.9530513799598,201.42118767336765
Canny(otsu),56.196745894508375,28.30780843211227,274.25491053919365,186.74054558983033
Canny(triangle),96.37054865242516,47.5175283813481,343.0357515039735,242.93762641851328
Canny(manual),49.37749650861547,31.214081580096007,250.4415127978293,168.4516369170532
Canny(blur),35.936522752413346,34.10364086593248,217.56071706992321,141.75363341659204
Canny(blur otsu),30.482426204153548,34.76756038620388,201.09959368397816,125.93191359611419
Canny(blur triangle),60.54140918877343,39.35147483956111,279.58730054158747,194.87759359242665
Canny(blur manual),33.455862494382885,41.58074119342324,175.85499307500405,106.34119987065482
Laplacian,595.1330237329298,151.29135700647646,572.1463449570774,216.464317089253
Laplacian(blur),527.3482638366488,67.91548174452036,534.2486324837564,81.55858991798303
Polar Sobel,448.8698180192625,27.945550744682258,405.683928142281,65.61898193305467
Polar Sobel(blur),332.4857162110502,54.06419582279272,331.8834795160712,31.918717093079657
Polar Canny,31.97700637382969,42.129068434016624,191.3645975314349,120.78740006981275
Polar Canny(otsu),28.501952829660055,32.995651018143455,225.18062861505697,149.68613867972954
Polar Canny(triangle),66.9819072469387,30.419353619904182,335.5839785672238,237.1934805368845
Polar Canny(manual),35.675002798216816,45.09541110169144,182.54007190631458,114.40485108707998
Polar Canny(blur),52.3221322275128,59.245568795269406,129.82556208690397,70.28862625562387
Polar Canny(blur otsu),40.248354273204626,48.14248879555933,174.54267329323,106.23788057922314
Polar Canny(blur triangle),33.89837254881616,20.921662957393654,292.0210964586458,204.03085227620738
Polar Canny(blur manual),55.381181347058984,61.423310359793824,124.22841658753934,66.33927658676687
Polar Laplacian,596.644915484588,131.14630422539236,535.0536189585024,189.96674356016678
Polar Laplacian(blur),470.2537641294872,28.138569026165452,463.57632450960364,38.55266267690426
Polar Pith Sobel,391.63652921506826,25.51211730414153,352.7951556360685,51.3353196906677
Polar Pith Sobel(blur),286.98113351564353,57.12690463789321,287.4125503851974,30.995800986898924
Polar Pith Canny,34.2702052880649,44.584507480644746,164.55709676163485,100.57394283526205
Polar Pith Canny(otsu),28.65835461191902,34.57815077884765,198.8161166778691,128.67298687791208
Polar Pith Canny(triangle),57.781748089914934,25.464383742979567,297.53879369645273,208.1985573112673
Polar Pith Canny(manual),36.38996607687879,44.294218186541514,171.165642138284,107.37565052431968
Polar Pith Canny(blur),55.03248397569133,61.08742674722207,111.51167458032515,58.204390487733924
Polar Pith Canny(blur otsu),42.80290073852407,49.876073940679326,152.0691422031987,89.70861097359885
Polar Pith Canny(blur triangle),29.071589229817178,20.5884669079088,257.375069537185,177.44158794114864
Polar Pith Canny(blur manual),53.48506480428023,59.23865676111429,120.95082716189184,67.21559528859355
Polar Pith Laplacian,525.8791559496595,110.25955374800105,471.3127084760255,160.90267587094553
Polar Pith Laplacian(blur),412.6959423198775,27.235442403542244,407.3264119450831,34.92226685400337
