model,aglo,image,line_1,line_2,line_3,line_4,line_5,line_6,line_7,line_8,line_9,line_10,line_11,line_12,line_13,line_14,line_15,line_16,min,max,mean,orig
Grayscale,subseq,6689.jpg,463,514,543,541,551,538,541,528,562,552,531,523,604,558,510,511,463,604,535.625,113.8
Grayscale,peaks,6689.jpg,47,62,58,60,53,46,56,59,59,62,58,55,62,69,57,56,46,69,57.4375,113.8
Grayscale,binary,6689.jpg,472,487,524,508,519,514,492,482,499,486,495,480,564,512,498,485,472,564,501.0625,113.8
Grayscale,mwa,6689.jpg,110,130,123,138,137,124,121,122,147,134,135,132,138,148,129,145,110,148,132.0625,113.8
Grayscale,subseq,6683.jpg,456,535,530,532,529,517,514,520,537,521,522,531,554,551,556,579,456,579,530.25,106.2
Grayscale,peaks,6683.jpg,64,59,58,52,58,59,57,60,61,64,63,57,56,59,65,53,52,65,59.0625,106.2
Grayscale,binary,6683.jpg,463,492,506,511,495,496,511,500,509,496,499,487,488,510,526,536,463,536,501.5625,106.2
Grayscale,mwa,6683.jpg,118,102,114,102,116,121,119,104,111,97,107,95,98,99,104,105,95,121,107.0,106.2
Grayscale,subseq,6721.jpg,313,307,302,305,293,312,309,282,319,280,292,302,269,285,269,277,269,319,294.75,80.6
Grayscale,peaks,6721.jpg,13,19,10,20,9,19,14,13,21,15,12,17,14,13,16,14,9,21,14.9375,80.6
Grayscale,binary,6721.jpg,273,260,264,264,273,293,269,256,278,245,271,267,244,251,234,253,234,293,262.1875,80.6
Grayscale,mwa,6721.jpg,33,41,38,31,34,32,25,33,30,24,32,34,31,32,26,31,24,41,31.6875,80.6
Grayscale,subseq,6723.jpg,193,566,565,584,587,543,527,521,547,552,546,545,528,552,547,582,193,587,530.3125,65.2
Grayscale,peaks,6723.jpg,7,34,38,38,41,27,26,28,19,26,29,18,28,32,27,28,7,41,27.875,65.2
Grayscale,binary,6723.jpg,184,529,536,564,572,542,513,509,503,530,536,543,516,530,540,544,184,572,511.9375,65.2
Grayscale,mwa,6723.jpg,17,63,64,62,54,51,58,60,56,55,45,43,58,44,51,48,17,64,51.8125,65.2
Grayscale,subseq,6722.jpg,238,206,590,590,624,591,606,609,606,629,597,556,626,625,610,623,206,629,557.875,93.4
Grayscale,peaks,6722.jpg,11,12,38,46,39,46,40,44,43,39,42,37,51,47,35,42,11,51,38.25,93.4
Grayscale,binary,6722.jpg,219,184,529,535,538,556,579,592,563,566,593,556,574,565,569,585,184,593,518.9375,93.4
Grayscale,mwa,6722.jpg,23,28,91,93,103,101,82,79,87,77,88,76,95,90,85,85,23,103,80.1875,93.4
Grayscale,subseq,6690.jpg,501,393,363,448,475,101,54,447,446,446,438,422,440,428,434,447,54,501,392.6875,104.2
Grayscale,peaks,6690.jpg,50,39,35,49,53,5,3,46,52,50,43,49,50,46,48,40,3,53,41.125,104.2
Grayscale,binary,6690.jpg,459,411,399,414,449,95,48,407,428,413,405,427,429,429,409,415,48,459,377.3125,104.2
Grayscale,mwa,6690.jpg,127,80,78,113,132,20,19,119,110,105,100,98,109,104,107,95,19,132,94.75,104.2
Grayscale,subseq,6725.jpg,531,474,448,479,497,509,505,462,539,546,553,432,406,484,458,492,406,553,488.4375,83.2
Grayscale,peaks,6725.jpg,6,6,7,6,3,6,5,7,6,5,5,1,3,5,1,3,1,7,4.6875,83.2
Grayscale,binary,6725.jpg,523,512,445,467,490,490,499,471,539,532,570,437,407,467,467,516,407,570,489.5,83.2
