model,subseq,peaks,binary,mwa
Grayscale,160.79037491530406,27.27568711579763,173.1837501279969,21.36670086687094
Polar,131.1177636218081,29.827945964812898,276.5614276929506,20.172070909058917
Polar Pith,130.18528432361006,29.593822164269422,276.22692175585394,20.235063156173826
Sobel,242.97164413733134,31.100436283032263,237.42919407382905,49.40280830513933
Sobel(blur),209.94282465183326,18.074565192040254,215.17938289830406,30.91366416748589
Canny,32.018535139624575,20.16370423395323,134.10675407421024,92.82533411247941
Canny(otsu),41.45688810866103,25.849220737819646,160.26320618676047,113.92978545944804
Canny(triangle),79.81748781112945,51.45392762700384,223.76093758535757,168.49268026168875
Canny(manual),17.810942692866817,14.108054721246186,98.0532147508678,63.50143752598174
Canny(blur),19.793417984715948,17.143111873934156,98.3593173970475,64.08490030889499
Canny(blur otsu),24.199001193752864,17.104933683388875,128.38554040654188,86.68889916431462
Canny(blur triangle),59.92343533964021,42.18781191429773,197.99298976931078,149.7221611406146
Canny(blur manual),16.37249624238988,18.684799304866278,62.13194881925307,35.75896583993893
Laplacian,292.4808834025471,70.31115430811025,292.3844194099602,80.2933478028466
Laplacian(blur),256.9140021295349,32.2606210732656,272.81339020068356,30.166554181106207
Polar Sobel,324.7799756628176,27.877474184710348,307.42151686395397,50.82641649104043
Polar Sobel(blur),237.12816719396218,21.401538364830532,253.13995637943614,29.305527804692687
Polar Canny,20.08944055576049,16.79572193305561,134.7238224125263,88.2972642912176
Polar Canny(otsu),26.67602374896895,18.277257992440283,170.47555314568797,115.9410582712421
Polar Canny(triangle),77.43121209011873,53.56304070186641,263.18495082288894,193.9197076689515
Polar Canny(manual),16.577360162266334,18.47934815940391,95.5747889648164,56.673909129423045
Polar Canny(blur),19.91493609350996,21.369556538544277,85.29114946328063,50.67757199848486
Polar Canny(blur otsu),13.470064195065735,13.986284768163475,125.07916448370577,77.16627754908764
Polar Canny(blur triangle),49.84439249055529,38.92195828585139,226.28134732124448,166.42282944272466
Polar Canny(blur manual),24.889867105567845,26.307812719817857,50.91921071236972,27.49021290487863
Polar Laplacian,478.5769963607811,125.62185862824451,435.48053699122903,134.18365663881966
Polar Laplacian(blur),342.4757244585875,25.300278412549638,352.79876428245865,30.75873577357966
Polar Pith Sobel,322.9915899151777,27.910025074950102,306.76204899446543,51.928857280267046
Polar Pith Sobel(blur),235.83397094758007,20.792995038636633,252.78688705454996,29.554233046591182
Polar Pith Canny,19.187365305683254,15.891881136227385,132.84246200952663,87.57604807625223
Polar Pith Canny(otsu),25.892886360509962,17.35469073201941,168.36592246139136,114.96653639305069
Polar Pith Canny(triangle),77.23825264745977,53.559575400749644,262.1499515617941,192.9397379072012
Polar Pith Canny(manual),15.651172524411354,17.529119892108653,97.9720050346918,59.87308658980598
Polar Pith Canny(blur),19.448961754312414,20.770208342926797,87.44903367768919,53.0304543423166
Polar Pith Canny(blur otsu),12.829318845239925,12.982703261056475,125.43101086424667,78.39061538936748
Polar Pith Canny(blur triangle),49.872437103463156,38.55322308317439,226.5851021467119,166.2127743458515
Polar Pith Canny(blur manual),23.677019382587716,25.162011346974083,54.36492671990004,29.48522263526274
Polar Pith Laplacian,475.8445212922107,124.81652744092673,432.9195363672496,135.09608337772983
Polar Pith Laplacian(blur),342.32864985842025,26.162331810160758,351.21289693591285,31.678504067419205
