model,subseq,peaks,binary,mwa
Grayscale,160.24733914941157,27.60121553693173,173.52365577237728,21.525376566556755
Polar,130.34902069967487,29.954907286870796,275.02640962704896,20.18963301229336
Polar Pith,128.14284062935877,29.954174741396756,273.8680792936294,19.895583946556957
Sobel,243.62898476714773,31.661641721529936,237.4433704000559,50.343912040695024
Sobel(blur),210.6691356378174,18.3343991813107,214.6704343166817,31.444798789250736
Canny,32.319024334974074,20.10966643449592,135.380803271121,93.76076032524308
Canny(otsu),42.1628629426592,26.121864013004295,161.61698839873947,114.94799205521275
Canny(triangle),80.5502544597411,51.66461317171019,224.56252281986883,168.689130202152
Canny(manual),17.994879990902827,13.83894947777318,99.54454197039297,64.59045644369452
Canny(blur),19.598057206653227,16.65621476250371,98.92978146717336,64.78548937411689
Canny(blur otsu),24.667930326968282,17.1452125564193,129.15562074745228,87.6822919057294
Canny(blur triangle),60.35196329567644,42.28937346839175,198.52560404951802,150.18206027714413
Canny(blur manual),16.45511691816269,18.485972758866122,63.285598974514976,36.68347609917079
Laplacian,292.8903481625779,71.50174892016751,291.9895459693951,80.43730746643311
Laplacian(blur),258.0503114813135,32.79234424837087,273.06354186697666,30.456707669431992
Polar Sobel,324.7199720239247,27.749786362245253,306.7748571564318,50.501322380551024
Polar Sobel(blur),236.33670962265256,21.650197248005046,252.91288895870105,28.79234485206401
Polar Canny,20.03406510419481,16.782266888852103,134.53330805773368,87.99855251890783
Polar Canny(otsu),26.638819355482713,18.249416512482963,170.9077907307022,115.80833864159682
Polar Canny(triangle),77.32182068467513,53.453078518835405,263.25865536383435,193.86323879045375
Polar Canny(manual),16.775085923284742,18.626127537729566,95.51163442743837,56.77638812482378
Polar Canny(blur),20.341651090735535,21.798379973658825,85.3041241679623,51.07358550912797
Polar Canny(blur otsu),13.757576181261257,14.193479180484376,125.61646748185505,77.50178687558002
Polar Canny(blur triangle),49.69318695220242,38.628438102924434,226.19620038387671,165.94218897933828
Polar Canny(blur manual),25.20751841751922,26.56037164675767,50.96051003955084,27.42978258564415
Polar Laplacian,477.9075638337642,125.05260367257614,434.74122040680913,133.9730683213326
Polar Laplacian(blur),343.2128583689414,25.19251064749435,352.69096441587914,30.57306024435854
Polar Pith Sobel,322.8490912615018,27.740891564412816,306.34888527679965,50.38591256545486
Polar Pith Sobel(blur),236.7598749988804,21.200125527087515,252.96110085702128,28.379282072715522
Polar Pith Canny,19.39825121024529,16.1324229498729,133.03094494653513,87.44920778461024
Polar Pith Canny(otsu),26.529501747851725,17.849400518768668,169.1976947760658,115.24708322110465
Polar Pith Canny(triangle),77.40726316556365,53.64230791593497,262.7397577809897,193.2848921116799
Polar Pith Canny(manual),16.01599831728001,17.823908439012413,97.6446825472367,59.45272084622849
Polar Pith Canny(blur),19.69698569984053,21.091455636538118,86.34342411796861,52.10680437055086
Polar Pith Canny(blur otsu),12.88055458721076,13.238913508554807,124.87747076231588,77.83561105868841
Polar Pith Canny(blur triangle),50.15656958896262,38.83511787806114,226.59036259794803,165.54986211350877
Polar Pith Canny(blur manual),24.298237309156207,25.66795776434693,52.99869911047012,28.61925988524894
Polar Pith Laplacian,475.1551906861097,124.40907890402069,432.62369327469673,133.3033441283162
Polar Pith Laplacian(blur),341.7939897533345,25.73300314146527,350.8750134241189,30.87824872747822
