model,subseq,peaks,binary,mwa
Grayscale,298.11996255511576,87.32302211766014,274.63502543303224,64.49998348308456
Polar,139.08358433114142,99.79181276480733,341.04141690837935,68.69324749508102
Polar Pith,130.8716753886573,101.47771286044224,321.5936921659209,71.88988482236375
Sobel,399.46489776381424,68.1135741565145,363.3546163697606,107.05439323444627
Sobel(blur),337.75429839847743,61.05581172080479,321.8967928964012,71.65962295812056
Canny,70.20125669645354,59.64907586392646,256.03048905965284,176.55611261575916
Canny(otsu),66.91213125927982,61.627077343744105,236.89775916089738,161.11908280005053
Canny(triangle),86.13700190156905,71.31296933356832,265.8740042775303,188.15262416106023
Canny(manual),64.87478241555735,62.66635531182727,221.86311067696982,148.94233173217808
Canny(blur),61.216794396580276,66.84541879743551,192.91350906956745,127.92485615009589
Canny(blur otsu),64.76122007034766,70.88803466599154,176.3023812998243,115.72859916534343
Canny(blur triangle),78.61930329666038,77.08728542284801,217.40960561165625,153.87293796159162
Canny(blur manual),68.15515517961072,74.53382106771761,158.52116145569136,103.85272929539344
Laplacian,476.5687788334511,127.95452766732478,445.6242935573898,189.4077440376197
Laplacian(blur),422.67310176873906,72.11299037400833,415.8859487126822,83.53477582005483
Polar Sobel,417.97422160819593,49.52054928144844,374.3389988760795,63.80944059311928
Polar Sobel(blur),304.79970078632266,80.58600184387993,305.60391961134627,54.440001638584576
Polar Canny,58.47062290499159,69.02217302663095,174.51963444093542,106.38508792033863
Polar Canny(otsu),47.626659032186815,57.94057833589278,213.5431315544729,136.8774880429742
Polar Canny(triangle),55.66869931843942,41.52414925788256,300.71370625912994,208.1633611077378
Polar Canny(manual),59.86918890238572,69.87373962109345,168.02993890767854,100.93260085211679
Polar Canny(blur),79.80564882141375,85.67020517891694,113.18660897696576,64.9582402459632
Polar Canny(blur otsu),65.95073111542503,73.48960192373538,158.77137025094805,91.50507429732566
Polar Canny(blur triangle),41.33239876295592,45.90007171897249,256.2348069221063,173.64799521704168
Polar Canny(blur manual),80.48415066659229,85.94989270149048,109.78968546958937,64.12101678883525
Polar Laplacian,558.8993036680445,120.33975709541751,495.79871729894995,177.87894139327787
Polar Laplacian(blur),434.1662223086338,50.70657533959925,424.95599872489476,53.226724133012524
Polar Pith Sobel,397.20706312239486,56.32286158582418,357.79473953539974,70.08006404406645
Polar Pith Sobel(blur),293.12562512048095,82.49505408728233,291.7841911491187,60.551331764124654
Polar Pith Canny,63.55372525917094,71.86376270850977,176.60690260257383,112.22370190145178
Polar Pith Canny(otsu),52.69336515666931,60.756390247988804,212.3369323358676,139.02699751102955
Polar Pith Canny(triangle),56.24505502254075,43.49635074818451,289.5701135730618,201.4608865609413
Polar Pith Canny(manual),60.72184597099301,69.37153067697086,174.74831637731032,109.10410934578204
Polar Pith Canny(blur),81.23063799020328,86.3643541574537,121.31754576528229,75.2476050094559
Polar Pith Canny(blur otsu),68.33491169416992,74.86817012407391,161.26436962488447,97.16168449156609
Polar Pith Canny(blur triangle),44.65242186499061,48.24425160057932,248.7669824176697,169.34290359675407
Polar Pith Canny(blur manual),79.75492468408227,84.90529587997388,119.3241428435206,72.45688618146406
Polar Pith Laplacian,528.3949631084236,116.3551157519416,469.3827884143805,175.12245816888716
Polar Pith Laplacian(blur),413.06619716292005,58.01675680010278,403.70944486546205,63.62212414245321
