model,subseq,peaks,binary,mwa
Grayscale,304.9895354657401,87.12834090821202,281.37888184958604,64.84940590065274
Polar,141.68698213152743,100.29558609352532,351.03929697940174,69.1513931329667
Polar Pith,135.73225329492266,100.57994849226851,333.23331363696457,69.35267479643777
Sobel,408.1256021700451,70.89977909292902,371.30721474056344,111.01206820880854
Sobel(blur),345.8427677967069,61.70554375395772,329.0687600576522,72.91990012446487
Canny,72.4605597193656,60.99873816923295,261.7176807135551,181.47628006298004
Canny(otsu),69.1571325632794,62.82453313617547,242.53851285964967,166.13138791458445
Canny(triangle),88.70618016320918,72.74153077899187,272.72444185024636,193.90746362066184
Canny(manual),66.43378439858026,63.506568912982786,227.28847227066024,153.42191832682312
Canny(blur),62.36724644091768,67.42900701638656,198.93518455190087,132.28380934373124
Canny(blur otsu),65.53333323248299,71.26964317542408,182.26619713846608,119.93637007082984
Canny(blur triangle),79.61105987266025,77.63166881625065,223.81340945002577,158.89945388054966
Canny(blur manual),68.85199787849874,74.94222058213414,163.54132533500376,107.32146929511323
Laplacian,487.78041673693673,132.8601735960892,455.4363240348261,194.7382416912216
Laplacian(blur),432.20909103737637,75.01836127041742,425.0176448125285,86.34386747145959
Polar Sobel,429.770172263833,48.66082041943031,386.7728685158221,63.79486952879536
Polar Sobel(blur),314.373786186772,80.44239335569657,316.93512862195706,54.295866365713415
Polar Canny,58.110977429383304,68.69744956994235,179.66060186521423,109.34692862172984
Polar Canny(otsu),47.081290390446455,57.26571356033087,220.93633068354578,141.64506390965974
Polar Canny(triangle),57.53604778831643,41.856860894927046,310.01184431700733,215.56496477725133
Polar Canny(manual),59.400820492161934,69.3738959397201,173.0240172544696,103.80054367652711
Polar Canny(blur),79.70055262975681,85.54823797689643,116.0435709186963,65.82685406358937
Polar Canny(blur otsu),65.70856253172637,73.3254972784799,164.4779832351586,94.56692508648307
Polar Canny(blur triangle),42.31177927578743,45.863595757834645,265.83871006862734,180.7528137502212
Polar Canny(blur manual),80.65510278630082,86.03528450195527,112.42562843171946,64.84519474020327
Polar Laplacian,575.3908595822826,124.23907102222678,511.4302390180916,182.76379668843495
Polar Laplacian(blur),448.20663274393144,50.49682541284717,439.8172820734087,53.48599648466303
Polar Pith Sobel,412.1906796413131,54.22314013206216,368.6347928298821,72.26153812153697
Polar Pith Sobel(blur),302.7403842145527,81.05431992660357,302.72021260861317,58.287210272855276
Polar Pith Canny,61.48629483978523,70.25539158075182,182.2625931902113,114.77966420797729
Polar Pith Canny(otsu),51.35565043918001,59.41176194480655,218.90880801989942,143.11151326517478
Polar Pith Canny(triangle),55.68705879646157,42.11388305478022,296.14854561633024,205.83541266652693
Polar Pith Canny(manual),59.04201860486733,68.04293006647531,181.34766740634296,112.60466997862174
Polar Pith Canny(blur),80.26461308912285,85.53060178865542,125.27759340113731,75.47619069756972
Polar Pith Canny(blur otsu),67.38118455708047,74.09050822535171,167.51045207276516,100.16019085283402
Polar Pith Canny(blur triangle),43.655160496751805,47.420635420746805,254.5942102045396,173.25168831883488
Polar Pith Canny(blur manual),78.5251061383179,83.84171088437954,125.12080650241725,73.98629206381594
Polar Pith Laplacian,545.27956049577,120.0367848745182,484.13769947826614,182.36453407002335
Polar Pith Laplacian(blur),428.61940130543104,55.91483122121678,417.4835763092078,61.63275402708423
